payload-0,B,7.0030,1746420153.1160262
payload-0,C,7.0045,1746420153.1160262
payload-0,D,14.0030,1746420153.1160262
payload-0,E,14.0045,1746420153.1160262
payload-1,B,8.0030,1746420153.175327
payload-1,C,8.0045,1746420153.175327
payload-1,D,14.0030,1746420153.175327
payload-1,E,14.0045,1746420153.175327
payload-2,B,9.0030,1746420153.228086
payload-2,C,9.0045,1746420153.228086
payload-2,D,14.0030,1746420153.228086
payload-2,E,14.0045,1746420153.228086
payload-3,B,10.0030,1746420153.283069
payload-3,C,10.0045,1746420153.283069
payload-3,D,14.0030,1746420153.283069
payload-3,E,14.0045,1746420153.283069
payload-4,B,11.0030,1746420153.3399942
payload-4,C,11.0045,1746420153.3399942
payload-4,D,14.0030,1746420153.3399942
payload-4,E,14.0045,1746420153.3399942
payload-5,B,12.0030,1746420153.395404
payload-5,C,18.0120,1746420153.395404
payload-5,D,14.0030,1746420153.395404
payload-5,E,14.0045,1746420153.395404
payload-6,B,13.0030,1746420153.450101
payload-6,C,18.0120,1746420153.450101
payload-6,D,15.0030,1746420153.450101
payload-6,E,14.0045,1746420153.450101
payload-7,B,14.0030,1746420153.5071082
payload-7,C,18.0120,1746420153.5071082
payload-7,D,15.0030,1746420153.5071082
payload-7,E,15.0045,1746420153.5071082
payload-8,B,15.0030,1746420153.5628102
payload-8,C,18.0120,1746420153.5628102
payload-8,D,16.0030,1746420153.5628102
payload-8,E,15.0045,1746420153.5628102
payload-9,B,16.0030,1746420153.619553
payload-9,C,18.0120,1746420153.619553
payload-9,D,16.0030,1746420153.619553
payload-9,E,16.0045,1746420153.619553
payload-10,B,17.0030,1746420153.67614
payload-10,C,18.0120,1746420153.67614
payload-10,D,17.0030,1746420153.67614
payload-10,E,16.0045,1746420153.67614
payload-11,B,18.0030,1746420153.728794
payload-11,C,18.0120,1746420153.728794
payload-11,D,17.0030,1746420153.728794
payload-11,E,17.0045,1746420153.728794
payload-12,B,18.0030,1746420153.78087
payload-12,C,18.0120,1746420153.78087
payload-12,D,18.0030,1746420153.78087
payload-12,E,18.0045,1746420153.78087
payload-13,B,19.0030,1746420153.835361
payload-13,C,18.0120,1746420153.835361
payload-13,D,19.0030,1746420153.835361
payload-13,E,18.0045,1746420153.835361
payload-14,B,19.0030,1746420153.89295
payload-14,C,19.0120,1746420153.89295
payload-14,D,19.0030,1746420153.89295
payload-14,E,19.0045,1746420153.89295
payload-15,B,20.0030,1746420153.953495
payload-15,C,19.0120,1746420153.953495
payload-15,D,20.0030,1746420153.953495
