1746420141.3917649,B,0,0.0030,0,0
1746420142.830538,C,0,0.0030,0,0
1746420143.501039,B,0,0.0010,0,0
1746420144.098612,D,0,0.0020,0,0
1746420144.9390872,C,0,0.0010,0,0
1746420145.514681,E,0,0.0030,0,0
1746420145.611706,B,0,0.0010,0,0
1746420146.209384,D,0,0.0010,0,0
1746420147.051597,C,0,0.0020,0,0
1746420147.630142,E,0,0.0030,0,0
1746420147.721793,B,0,0.0010,0,0
1746420148.320798,D,0,0.0010,0,0
1746420149.163696,C,0,0.0020,0,0
1746420149.742481,E,0,0.0020,0,0
1746420149.836095,B,0,0.0020,0,0
1746420150.4337149,D,0,0.0030,0,0
1746420151.2775638,C,0,0.0030,0,0
1746420151.854434,E,0,0.0030,0,0
1746420151.949376,B,0,0.0020,0,0
1746420152.5496,D,0,0.0020,0,0
1746420153.384246,C,3,0.0080,0,0
1746420153.964837,E,5,0.0050,0,0
1746420154.6552489,D,15,0.0080,0,0
1746420155.494723,C,29,0.0120,0,0
1746420156.074281,E,28,0.0190,0,0
1746420156.7633128,D,35,0.0120,0,0
1746420157.60527,C,50,0.0110,0,0
1746420158.184202,E,55,0.0100,0,0
1746420158.8705778,D,55,0.0020,0,0
1746420159.719154,C,60,0.0020,0,0
1746420160.295891,E,55,0.0030,0,0
1746420160.978386,D,53,0.0030,0,0
1746420161.8326411,C,58,0.0120,0,0
1746420162.402849,E,53,0.0030,0,0
1746420163.09179,D,51,0.0100,0,0
1746420163.9426079,C,55,0.0020,0,0
1746420164.507463,E,51,0.0050,0,0
1746420165.196098,D,48,0.0020,0,0
1746420166.0534751,C,53,0.0020,0,0
1746420166.617153,E,48,0.0030,0,0
1746420167.308673,D,46,0.0020,0,0
1746420168.1679292,C,51,0.0020,0,0
1746420168.7255838,E,46,0.0030,0,0
1746420169.420707,D,44,0.0020,0,0
1746420170.280025,C,49,0.0020,0,0
1746420170.8363972,E,44,0.0050,0,0
1746420171.534455,D,42,0.0020,0,0
1746420172.393152,C,47,0.0030,0,0
